고객이름,출생년도,주소,연락처,구매한 물건,단가(천원),수량
이승기,1987,서울,010-111-1111,,,
김범수,1979,경남,011-222-2222,운동화,30,2
김범수,1979,경남,011-222-2222,노트북,1000,1
김경호,1971,전남,019-333-3333,,,
조용필,1950,경기,011-444-4444,모니터,200,1
바비킴,1973,서울,010-000-0000,모니터,200,5
윤종신,1969,경남,안남김,,,
김범수,1979,경남,011-222-2222,청바지,50,3
임재범,1963,서울,016-666-6666,,,
바비킴,1973,서울,010-000-0000,메모리,80,10
성시경,1979,경남,안남김,책,15,5
은지원,1978,경북,011-888-8888,책,15,2
임재범,1963,서울,016-666-6666,,,
은지원,1978,경북,011-888-8888,청바지,50,1
바비킴,1973,서울,010-000-0000,운동화,30,2
은지원,1978,경북,011-888-8888,,,
은지원,1978,경북,011-888-8888,책,15,1
바비킴,1973,서울,010-000-0000,운동화,30,2
조관우,1965,경기,018-999-9999,,,
